"session","date_start","date_end","id_user","id_event"
"e58efbdf3763289545101005d565bcef","2021-04-10 21:48:37",NULL,"146","3"
"e6ec6e86f5df2b7659bf2149bc1dcdf3","2021-04-09 09:53:06",NULL,"2","3"
"e72b6fd8e42691d37a477795b849bf0b","2021-04-10 21:12:55",NULL,"140","3"
"e86fef6cf463a578ea52c10cc6734093","2021-04-10 21:14:31",NULL,"143","3"
"e899f0a213f041c0743c719fc7037f26","2021-04-09 10:08:48","2021-04-09 10:19:08","11","3"
"e986eb80dc764e4412e26a164768ccc9","2021-04-10 21:09:25",NULL,"136","3"
"ec36cb5a41af9e7167fad5140544eec9","2021-04-10 21:06:53",NULL,"133","3"
"ee9be5067eb8c3f3f95cc01f89ae3129","2021-04-10 18:04:58","2021-04-10 18:06:06","70","3"
"ef2ec6bce1c341230070c6bf0f5a29ed","2021-04-09 09:56:40",NULL,"65","3"
"ef3120c3aac13d7f67560fafe51789c1","2021-04-03 12:17:12",NULL,"55","3"
"f05eaacc86408d80c620dec12d53b2f2","2021-04-06 22:01:09",NULL,"59","3"
"f07270e5fd344e7e7cf2dde39222fa72","2021-04-10 20:31:07",NULL,"81","3"
"f220a356953cd1b205aea1d3981cf259","2021-04-10 20:59:42",NULL,"126","3"
"f4555e814af880ee8b4b89d5282ef816","2021-03-26 13:49:50",NULL,"49","3"
"f4b8244c784f832a9c5718d9dde95dc9","2021-04-10 21:54:41",NULL,"149","3"
"f85b4d939929f677b5dbb3e96864e4b2","2021-04-10 20:53:51",NULL,"113","3"
"f99861d55a352c99f13f75c27b69e329","2021-04-10 20:53:11","2021-04-10 22:04:02","100","3"
"f9b0f0124c8187914463d90805350dc8","2021-04-10 20:54:12",NULL,"117","3"
"f9f225fc705f1232c25eb7f03c74b04d","2021-04-10 20:53:18",NULL,"107","3"
"fa18ff4b28960c90600b80ee9cc27e03","2021-04-05 09:16:25",NULL,"57","3"
"fa96047fa1ba4e89f60a533913dea21b","2021-04-10 20:45:12",NULL,"88","3"
"fb58e71bfbe22ae3ffd05ad3b796562f","2021-04-10 18:20:05",NULL,"2","3"
"fbbee672f415a61d7b07b0b3014e2ab7","2021-04-10 21:57:42",NULL,"151","3"
"fcc0925a12565534eb8d2f091c251e0e","2021-04-09 16:59:26",NULL,"67","3"
